name,gender,problematic,special_needs,math,reading,friends
Student_01,g,y,n,h,h,Student_07;Student_05;Student_04
Student_02,b,n,y,m,l,Student_05;Student_04;Student_07;Student_01
Student_03,g,n,n,l,m,Student_05;Student_07;Student_02;Student_04
Student_04,g,n,n,m,h,Student_02;Student_05;Student_06;Student_07
Student_05,g,n,n,h,l,Student_01;Student_06;Student_07;Student_03
Student_06,b,n,n,m,l,Student_04;Student_01;Student_07;Student_03
Student_07,g,n,n,h,m,Student_06;Student_05;Student_01;Student_04
Student_08,b,n,y,h,m,Student_12;Student_10;Student_13;Student_14
Student_09,g,n,n,l,h,Student_10;Student_08;Student_14
Student_10,g,n,n,m,l,Student_08;Student_09;Student_14;Student_12
Student_11,b,n,n,l,h,Student_13;Student_08;Student_10;Student_12
Student_12,b,n,n,h,h,Student_10;Student_13;Student_14
Student_13,b,n,n,h,l,Student_14;Student_09;Student_10;Student_12
Student_14,b,y,n,m,h,Student_11;Student_09;Student_12;Student_08
Student_15,g,n,n,m,l,Student_19;Student_18;Student_16
Student_16,b,n,n,h,m,Student_21;Student_19;Student_17;Student_18
Student_17,b,n,n,h,h,Student_18;Student_15;Student_20;Student_21
Student_18,g,y,n,l,m,Student_17;Student_20;Student_21;Student_19
Student_19,b,n,n,l,l,Student_18;Student_17;Student_20;Student_16
Student_20,b,n,n,h,h,Student_16;Student_21;Student_17
Student_21,b,n,n,m,m,Student_18;Student_16;Student_19;Student_17
Student_22,b,n,n,m,l,Student_23;Student_25;Student_26;Student_27
Student_23,g,n,n,m,m,Student_26;Student_27;Student_24
Student_24,b,n,n,m,l,Student_23;Student_22;Student_27
Student_25,b,y,n,h,l,Student_27;Student_28;Student_22
Student_26,g,n,n,m,l,Student_28;Student_27;Student_24;Student_23
Student_27,b,n,n,l,l,Student_25;Student_28;Student_24;Student_23
Student_28,b,n,n,l,m,Student_26;Student_27;Student_23
Student_29,g,y,n,l,h,Student_31;Student_36;Student_33
Student_30,b,n,n,l,h,Student_32;Student_31;Student_34;Student_33
Student_31,g,n,n,m,h,Student_29;Student_34;Student_30;Student_35
Student_32,b,n,n,h,h,Student_36;Student_35;Student_31;Student_33
