name,gender,problematic,special_needs,math,reading,friends
Student_01,g,n,n,m,h,Student_71;Student_08;Student_14
Student_02,b,n,n,m,m,Student_33;Student_49;Student_46
Student_03,b,n,n,h,h,Student_64;Student_29
Student_04,b,n,n,h,m,Student_47;Student_46;Student_15;Student_14
Student_05,g,n,y,h,h,
Student_06,b,n,y,m,m,Student_03;Student_41;Student_68
Student_07,b,n,n,m,l,Student_34;Student_44;Student_61;Student_40
Student_08,b,n,n,m,l,
Student_09,b,y,n,h,l,Student_53
Student_10,b,y,n,m,h,Student_14;Student_46;Student_62;Student_66
Student_11,g,y,n,m,m,Student_26;Student_74
Student_12,b,n,n,l,m,Student_87;Student_31;Student_18;Student_86
Student_13,g,n,y,h,h,Student_75;Student_06;Student_82;Student_18
Student_14,g,y,n,l,m,Student_44;Student_32
Student_15,g,n,n,m,l,Student_65;Student_03;Student_72
Student_16,g,n,n,l,l,Student_21;Student_01
Student_17,g,n,n,l,m,Student_56;Student_42;Student_45;Student_83
Student_18,g,n,n,h,m,Student_71;Student_80
Student_19,g,n,y,m,m,
Student_20,g,n,n,m,l,
Student_21,g,y,n,l,l,Student_06;Student_89;Student_23;Student_44
Student_22,b,n,y,m,m,Student_21
Student_23,b,n,n,m,l,Student_81;Student_82;Student_06
Student_24,g,n,n,m,m,Student_37;Student_70;Student_55
Student_25,b,n,n,m,h,Student_15;Student_32;Student_26
Student_26,g,n,n,m,m,Student_73;Student_71;Student_27
Student_27,g,n,n,m,l,Student_25;Student_38
Student_28,g,n,y,m,m,Student_83;Student_47
Student_29,b,n,y,m,h,Student_11;Student_69
Student_30,g,n,n,m,m,Student_81;Student_23;Student_64;Student_90
Student_31,b,y,y,m,h,Student_17;Student_30;Student_55;Student_51
Student_32,b,n,n,l,h,Student_27
Student_33,b,n,n,h,l,Student_83;Student_49;Student_35;Student_81
Student_34,g,n,n,m,m,Student_65;Student_78
Student_35,g,n,n,l,m,Student_89
Student_36,b,n,n,m,m,Student_67
Student_37,b,n,n,l,m,
Student_38,g,n,n,h,m,Student_16;Student_40;Student_12
Student_39,g,n,n,l,h,Student_37;Student_09;Student_83;Student_89
Student_40,b,n,n,m,l,Student_71;Student_57
Student_41,b,n,n,h,l,Student_18;Student_53
Student_42,b,n,n,h,m,Student_19;Student_14;Student_66
Student_43,b,n,n,l,l,Student_33;Student_19;Student_74
Student_44,g,n,y,l,m,Student_65
Student_45,g,n,n,m,m,Student_37;Student_23
Student_46,g,n,n,h,m,Student_30;Student_26;Student_68
Student_47,g,y,n,l,m,Student_72
Student_48,b,n,n,h,m,Student_28;Student_75;Student_26
Student_49,g,n,n,m,m,Student_79
Student_50,g,n,y,l,l,Student_28;Student_18;Student_25
Student_51,g,n,n,h,l,Student_77;Student_85;Student_38
Student_52,g,n,n,m,l,
Student_53,b,y,n,m,h,Student_70
Student_54,g,n,y,l,m,Student_04
Student_55,b,y,n,m,m,Student_56;Student_17;Student_52
Student_56,b,n,y,m,h,Student_86;Student_43
Student_57,b,n,n,m,l,Student_22;Student_42
Student_58,g,n,n,l,m,Student_57;Student_66
Student_59,g,n,n,m,m,Student_77;Student_15;Student_84
Student_60,g,n,n,m,m,Student_18;Student_19
Student_61,b,n,y,m,l,
Student_62,b,n,n,h,m,Student_27
Student_63,g,n,n,m,m,Student_09;Student_55;Student_52
Student_64,b,n,n,h,m,Student_85;Student_32
Student_65,g,n,n,l,m,Student_64;Student_76;Student_77
Student_66,g,n,n,m,m,Student_65;Student_07
Student_67,g,y,n,m,h,Student_29;Student_87;Student_46
Student_68,b,y,n,m,m,Student_45
Student_69,g,n,n,l,m,Student_23;Student_58;Student_57;Student_38
Student_70,b,y,n,m,m,Student_84;Student_83
Student_71,b,n,n,h,m,Student_66;Student_88;Student_32
Student_72,g,y,n,m,h,
Student_73,g,n,n,l,h,Student_67;Student_41;Student_37;Student_11
Student_74,g,y,y,m,l,Student_05;Student_14;Student_76
Student_75,g,n,n,l,h,Student_61;Student_87
Student_76,b,n,n,m,m,Student_61
Student_77,g,n,n,m,h,Student_66;Student_86;Student_64
Student_78,b,n,y,m,m,Student_42;Student_50;Student_27
Student_79,g,n,n,m,m,Student_24
Student_80,b,y,n,h,h,
Student_81,b,n,n,m,h,
Student_82,b,n,y,m,l,
Student_83,b,n,y,m,m,Student_48;Student_55;Student_18
Student_84,b,n,n,l,m,Student_24;Student_52;Student_40;Student_46
Student_85,b,n,y,m,m,Student_06;Student_21
Student_86,b,n,n,h,h,Student_16;Student_24
Student_87,g,n,n,m,m,Student_19;Student_72;Student_34;Student_89
Student_88,g,n,n,h,m,Student_59;Student_40
Student_89,b,n,n,m,h,Student_78;Student_45;Student_04
Student_90,g,n,n,h,h,Student_04;Student_69;Student_88
