name,grade,gender,math,reading,problematic,special_needs
Emma Johnson,Kindergarten,F,m,m,n,n
Liam Smith,Kindergarten,M,h,m,n,n
Olivia Brown,Kindergarten,F,l,m,n,n
Noah Davis,Kindergarten,M,m,h,n,n
Ava Wilson,1st,F,h,h,n,n
Ethan Martinez,1st,M,m,m,n,n
Sophia Garcia,1st,F,m,h,n,y
Mason Rodriguez,1st,M,l,m,y,n
Isabella Lopez,2nd,F,h,m,n,n
William Gonzalez,2nd,M,m,m,n,n
Mia Hernandez,2nd,F,m,h,n,n
James Moore,2nd,M,h,l,n,n
Charlotte Taylor,3rd,F,m,m,n,n
Benjamin Anderson,3rd,M,h,h,n,n
Amelia Thomas,3rd,F,l,m,n,y
Lucas Jackson,3rd,M,m,m,n,n
Harper White,4th,F,h,h,n,n
Henry Harris,4th,M,m,m,n,n
Evelyn Martin,4th,F,m,l,n,n
Alexander Thompson,4th,M,l,m,y,n
Abigail Garcia,5th,F,h,m,n,n
Michael Martinez,5th,M,m,h,n,n
Emily Robinson,5th,F,m,m,n,y
Daniel Clark,5th,M,h,l,n,n
