First Name,Last Name,Grade,Gender,Math Level,Reading Level,IEP,Friends,Cannot Be With,Home Language,Reading Group,Teacher Notes
Emma,Alvarez,3rd Grade,Female,h,m,No,Liam Brennan,,Spanish,Bluebirds,Strong leader
Liam,Brennan,3rd Grade,Male,m,h,No,Emma Alvarez,,English,Cardinals,Works well independently
Sofia,Chen,3rd Grade,Female,h,h,No,,,Mandarin,Cardinals,Very creative
Jackson,Diaz,3rd Grade,Male,m,m,Yes,,,Spanish,Bluebirds,Needs movement breaks
Aisha,Evans,3rd Grade,Female,l,m,No,,,English,Robins,Shy at first but opens up
Noah,Flores,3rd Grade,Male,h,h,No,,,Spanish,Cardinals,
Chloe,Garcia,3rd Grade,Female,m,l,Yes,Aisha Evans,,English,Robins,Benefits from visual aids
Marcus,Harris,3rd Grade,Male,l,l,Yes,,,English,Robins,Strong oral skills despite reading level
Priya,Ito,4th Grade,Female,h,h,No,,,Hindi,Eagles,Math competition participant
Derek,Johnson,4th Grade,Male,m,m,No,,,English,Eagles,
Aaliya,Kim,4th Grade,Female,m,h,No,Priya Ito,,Korean,Hawks,Book club leader
Ben,Lopez,4th Grade,Male,h,m,No,,,Spanish,Eagles,Robotics club
Clara,Martinez,4th Grade,Female,l,l,Yes,,Ben Lopez,Spanish,Sparrows,Benefits from small group
Elijah,Nguyen,4th Grade,Male,m,m,No,,,Vietnamese,Hawks,
Fatima,Okafor,4th Grade,Female,h,h,No,,,Somali,Eagles,Exceptional writer
