name,grade,gender,math,reading,behavior,independence,iep,504,esl,gate,friends,incompatible
Matthew Peterson,Kindergarten,M,l,m,cooperative,neutral,n,n,n,n,,
Emma Morris,Kindergarten,F,m,h,neutral,low,n,n,n,n,,
Michael Edwards,Kindergarten,M,h,h,cooperative,high,n,n,n,n,,
Violet Robinson,Kindergarten,F,l,m,neutral,low,n,n,n,n,,
Ryan Lewis,Kindergarten,M,h,h,cooperative,neutral,n,n,y,n,Ava Cruz,
Ava Cruz,Kindergarten,F,h,h,cooperative,low,n,n,n,n,,
Asher Martin,Kindergarten,M,m,m,cooperative,low,n,n,n,n,,
Sophia Lopez,Kindergarten,F,m,h,disruptive,high,n,n,n,n,Ella Hill,Stella Lopez
Oliver James,Kindergarten,M,l,m,neutral,high,n,y,n,n,,
Jacob Baker,Kindergarten,M,m,h,neutral,high,n,n,y,n,,
Camila Lopez,Kindergarten,F,m,m,cooperative,high,n,n,n,n,Oliver James,
Ella Hill,Kindergarten,F,l,m,cooperative,neutral,n,y,y,n,,
Aurora Bennett,Kindergarten,F,m,h,cooperative,neutral,y,n,n,n,,
Stella Lopez,Kindergarten,F,m,m,disruptive,neutral,n,n,n,n,Jacob Baker,Sophia Lopez
Ezra Adams,Kindergarten,M,h,m,cooperative,high,n,n,n,n,,
Ezra Bailey,Kindergarten,M,m,m,cooperative,neutral,y,n,n,n,,
Isabella Kim,Kindergarten,F,l,l,cooperative,neutral,n,n,n,n,,
Jaxon Rogers,Kindergarten,M,h,m,cooperative,high,n,n,n,n,Aurora Bennett,
James Morris,Kindergarten,M,m,l,cooperative,high,n,n,n,n,,
Gabriella Harris,Kindergarten,F,l,l,neutral,neutral,n,n,n,n,,
Dylan Walker,Kindergarten,M,m,m,neutral,neutral,n,n,y,n,Isabella Kim,
Claire Ortiz,Kindergarten,F,m,h,cooperative,low,n,n,y,n,,
Avery Garcia,Kindergarten,F,l,h,neutral,low,n,n,n,n,,
Sophia Ward,Kindergarten,F,l,l,cooperative,neutral,n,n,n,n,,
Ella Jackson,Kindergarten,F,m,l,cooperative,high,n,n,n,n,,
Evelyn Morales,Kindergarten,F,m,m,cooperative,low,y,n,n,n,,
Lily Green,Kindergarten,F,l,m,cooperative,neutral,n,n,n,n,Michael Brown,
Savannah Reed,Kindergarten,F,m,l,cooperative,neutral,n,n,n,n,,
Maya Green,Kindergarten,F,m,h,cooperative,neutral,y,n,n,n,,
Michael Brown,Kindergarten,M,m,m,cooperative,low,n,n,n,n,,
Leah Johnson,Kindergarten,F,m,l,neutral,high,n,n,n,n,,
Hunter Ward,Kindergarten,M,m,m,neutral,neutral,n,n,n,n,,
Sebastian Williams,Kindergarten,M,m,m,cooperative,neutral,n,n,n,n,,
Sofia Reed,Kindergarten,F,m,h,cooperative,low,n,n,n,n,,
Charlotte Wilson,Kindergarten,F,m,l,disruptive,neutral,n,n,n,n,,Claire Hall
Jaxon Richardson,Kindergarten,M,m,m,neutral,neutral,n,n,n,n,,
Layla Morgan,Kindergarten,F,l,h,cooperative,neutral,n,n,n,n,,
Claire Hall,Kindergarten,F,m,h,disruptive,high,n,n,y,n,Grace Martin,Charlotte Wilson
Charlotte Young,Kindergarten,F,m,l,cooperative,high,n,n,n,n,Ellie Diaz,
Ellie Diaz,Kindergarten,F,m,l,cooperative,neutral,n,n,n,n,,
Thomas Davis,Kindergarten,M,m,l,disruptive,high,n,n,y,n,,Luke Brooks
Michael Roberts,Kindergarten,M,m,m,cooperative,high,n,n,y,n,,
Grace Martin,Kindergarten,F,m,m,cooperative,high,n,n,n,n,Michael Roberts,
Avery Wood,Kindergarten,F,m,m,neutral,high,n,n,n,n,,
Luke Brooks,Kindergarten,M,h,m,disruptive,high,n,n,n,n,,Thomas Davis
Thomas Cook,Kindergarten,M,h,m,cooperative,neutral,n,y,n,n,,
Eleanor Campbell,Kindergarten,F,h,l,cooperative,neutral,n,n,n,n,,
Paisley Kelly,Kindergarten,F,h,h,cooperative,high,n,n,y,n,,
Penelope Rogers,Kindergarten,F,m,m,cooperative,neutral,n,n,n,n,,
Jaxon Brown,Kindergarten,M,h,m,cooperative,high,n,n,n,n,,
Caleb Reyes,Kindergarten,M,l,m,cooperative,neutral,n,n,y,n,,
Riley Rivera,Kindergarten,F,l,m,disruptive,low,n,n,n,n,,Harper Gomez
Maya Wilson,Kindergarten,F,l,m,neutral,high,y,y,n,n,Jaxon Brown,
Matthew Allen,Kindergarten,M,l,l,neutral,neutral,n,n,n,n,Caleb Reyes,
Amelia Hughes,Kindergarten,F,h,l,cooperative,neutral,n,n,n,n,,
Maya Baker,Kindergarten,F,l,m,cooperative,high,n,n,n,n,Amelia Hughes,
Lily King,Kindergarten,F,h,m,cooperative,neutral,n,n,n,n,,
Savannah Harris,Kindergarten,F,h,m,cooperative,high,n,n,y,n,,
Sophia Cox,Kindergarten,F,m,l,cooperative,high,y,y,y,n,,
Grayson Evans,Kindergarten,M,m,l,cooperative,high,n,n,y,n,,
Matthew Hall,Kindergarten,M,l,m,cooperative,neutral,n,y,n,n,,
Natalie Cooper,Kindergarten,F,h,m,neutral,neutral,n,n,n,n,Henry Cruz,
Stella Morgan,Kindergarten,F,m,h,cooperative,high,n,n,n,n,,
Savannah Gonzalez,Kindergarten,F,m,m,cooperative,low,y,n,y,n,,
Isaac Allen,Kindergarten,M,m,m,cooperative,neutral,n,n,n,n,Dylan Reyes,
Dylan Reyes,Kindergarten,M,m,m,cooperative,high,n,n,n,n,,
Henry Cruz,Kindergarten,M,m,m,neutral,neutral,n,n,n,n,,
Harper Thomas,Kindergarten,F,m,h,cooperative,neutral,n,n,n,n,,
Matthew Baker,Kindergarten,M,l,m,cooperative,neutral,n,n,n,n,,
Christopher Hughes,Kindergarten,M,h,m,cooperative,neutral,n,n,y,n,,
Audrey Thompson,Kindergarten,F,h,l,cooperative,high,y,n,n,n,,
Harper Gomez,Kindergarten,F,h,m,disruptive,neutral,n,n,n,n,,Riley Rivera
Lily Howard,Kindergarten,F,m,m,neutral,high,n,n,y,n,,
Gabriel Hughes,Kindergarten,M,m,m,cooperative,high,y,n,n,n,,
Carter Wilson,Kindergarten,M,l,m,cooperative,high,n,n,n,n,,
Joseph Adams,Kindergarten,M,m,l,cooperative,neutral,n,n,n,n,,
Emily Watson,Kindergarten,F,m,h,cooperative,low,n,n,n,n,Elijah Morales,
Elijah Morales,Kindergarten,M,l,m,cooperative,high,n,n,n,n,,
Hannah James,Kindergarten,F,m,h,neutral,neutral,n,n,n,n,,
Zoey Morris,Kindergarten,F,h,m,neutral,neutral,n,y,n,n,,
Hazel Scott,Kindergarten,F,m,m,neutral,neutral,n,n,y,n,,
Paisley Howard,Kindergarten,F,l,h,cooperative,neutral,n,n,n,n,,
Grace Cox,Kindergarten,F,m,m,cooperative,neutral,n,n,n,n,Hazel Scott,
Skylar Sanchez,Kindergarten,F,m,l,cooperative,neutral,n,n,n,n,John Ortiz,
Isaac Ortiz,Kindergarten,M,l,m,disruptive,low,n,n,n,n,Gabriel Jones,
Leo Williams,Kindergarten,M,l,m,cooperative,high,n,n,y,n,Grace Cox,
Gabriel Jones,Kindergarten,M,h,m,cooperative,neutral,y,n,n,n,,
John Ortiz,Kindergarten,M,m,m,neutral,neutral,n,n,y,n,Isaac Ortiz,
Scarlett Wilson,Kindergarten,F,l,l,cooperative,high,n,y,n,n,,
Wyatt Richardson,Kindergarten,M,m,h,cooperative,high,n,n,n,n,,
Skylar Smith,1st,F,m,m,neutral,neutral,n,n,y,n,,
Charles Gomez,1st,M,m,m,neutral,neutral,y,n,n,n,,
Elijah Bennett,1st,M,m,m,cooperative,high,y,n,n,n,,
Aurora King,1st,F,h,l,cooperative,neutral,y,n,n,n,,
Luna Cruz,1st,F,h,m,neutral,neutral,n,n,n,n,Paisley Nelson,
Hazel Williams,1st,F,m,h,neutral,high,n,n,n,n,Charles Gomez,
Jackson Martin,1st,M,h,m,cooperative,low,n,n,n,n,Hazel Williams,
Paisley Nelson,1st,F,l,m,cooperative,high,n,n,n,n,,
Savannah Ortiz,1st,F,l,m,cooperative,high,n,n,n,n,,
Jack Carter,1st,M,m,m,cooperative,neutral,n,n,n,n,,
Lucy Morgan,1st,F,l,m,cooperative,low,n,n,y,n,,
Carter Brown,1st,M,l,m,neutral,neutral,n,y,n,n,Gabriel Miller,
Gabriel Miller,1st,M,l,m,cooperative,high,n,y,n,n,,
Avery Ortiz,1st,F,m,h,cooperative,high,n,n,y,n,Savannah Ortiz,
Luke Murphy,1st,M,l,m,disruptive,high,n,n,n,n,,
Evelyn Martin,1st,F,m,h,neutral,high,n,n,n,n,,
Grayson Garcia,1st,M,m,l,cooperative,neutral,n,n,n,n,,
Levi Ward,1st,M,m,m,neutral,low,n,n,n,n,Jack Brooks,
William Phillips,1st,M,m,m,cooperative,neutral,n,n,n,n,,
Owen Edwards,1st,M,m,m,disruptive,low,y,n,n,n,,
Mia Taylor,1st,F,m,m,neutral,neutral,n,n,y,n,,
Hunter Rogers,1st,M,m,l,cooperative,low,n,n,n,n,,
Jack Brooks,1st,M,l,l,cooperative,neutral,n,n,n,n,,
Mia Sanchez,1st,F,m,m,neutral,high,n,n,n,n,Mia Taylor,
Mia Mendoza,1st,F,m,h,neutral,high,n,n,y,n,,
Audrey Richardson,1st,F,m,h,cooperative,high,n,n,n,n,Sebastian Smith,
Sebastian Smith,1st,M,m,l,neutral,high,n,n,y,n,Evelyn Adams,
Paisley Collins,1st,F,m,m,neutral,neutral,n,n,n,n,,
Bella Morris,1st,F,h,m,cooperative,low,n,n,n,n,Joseph Sanchez,
Joseph Sanchez,1st,M,h,l,cooperative,neutral,n,n,n,n,,
Ryan Nguyen,1st,M,h,l,cooperative,neutral,n,n,n,n,,
Evelyn Adams,1st,F,h,m,cooperative,neutral,n,n,n,n,,
Aria Morales,1st,F,m,l,cooperative,low,n,n,n,n,Anthony Clark,
Ellie Baker,1st,F,l,l,cooperative,neutral,n,n,y,n,,
Noah Thomas,1st,M,l,m,cooperative,neutral,n,n,n,n,,
Joseph Kim,1st,M,m,m,neutral,high,n,y,y,n,,
Anthony Chavez,1st,M,l,m,cooperative,high,n,n,n,n,,
Anthony Clark,1st,M,m,m,disruptive,neutral,n,n,n,n,,Charles Rodriguez
Christian Murphy,1st,M,h,h,cooperative,low,n,y,n,n,Luke Howard,
Luke Howard,1st,M,l,l,cooperative,high,n,n,n,n,,
Ella Chavez,1st,F,l,m,cooperative,neutral,n,n,n,n,Bella Clark,
Joseph Morris,1st,M,h,m,cooperative,high,n,n,y,n,,
Bella Clark,1st,F,m,h,cooperative,neutral,n,n,n,n,,
Ryan Collins,1st,M,l,l,cooperative,low,n,n,n,n,,
David Hill,1st,M,h,m,cooperative,neutral,n,n,y,n,,
Violet Morales,1st,F,l,m,cooperative,high,n,n,n,n,,
Anthony Young,1st,M,h,m,neutral,high,y,n,n,n,,
Elizabeth Lopez,1st,F,h,l,cooperative,neutral,n,n,n,n,,
Lily Johnson,1st,F,l,l,neutral,high,n,n,n,n,,
Isaac Reyes,1st,M,h,h,neutral,high,n,n,n,n,,
Nora Davis,1st,F,h,m,neutral,neutral,y,n,n,n,,
Ava Mitchell,1st,F,l,m,cooperative,high,y,n,n,n,,
Chloe Hughes,1st,F,m,l,cooperative,high,y,n,n,n,Abigail Jones,
Mason Cook,1st,M,h,m,cooperative,high,n,n,n,n,,
Ava Rogers,1st,F,m,h,cooperative,low,y,n,n,n,,
Wyatt Brown,1st,M,m,m,cooperative,high,n,y,n,n,,
Abigail Jones,1st,F,h,h,cooperative,neutral,n,n,n,n,,
John Flores,1st,M,l,h,cooperative,high,n,y,n,n,,
Michael Richardson,1st,M,m,m,neutral,high,n,n,n,n,,
Charles Rodriguez,1st,M,h,h,disruptive,neutral,n,n,n,n,,Anthony Clark
Nathan Hernandez,1st,M,m,l,neutral,high,n,y,n,n,John Flores,
Logan Watson,1st,M,m,m,cooperative,low,n,n,n,n,,
Leah Stewart,1st,F,m,m,cooperative,high,n,n,n,n,,
Leah Watson,1st,F,m,h,neutral,low,n,n,n,n,Logan Watson,
Jackson White,1st,M,l,m,neutral,high,n,n,n,n,,
Jackson Miller,1st,M,m,m,disruptive,neutral,n,n,y,n,,Hunter Davis
Anna Walker,1st,F,m,m,cooperative,high,n,n,n,n,,
Stella Mendoza,1st,F,m,h,cooperative,high,n,n,n,n,Jackson Miller,
Hunter Davis,1st,M,l,l,disruptive,neutral,n,n,n,n,,Jackson Miller
Luke Mitchell,1st,M,l,l,cooperative,neutral,n,n,n,n,,
Hannah Young,1st,F,h,l,neutral,neutral,n,n,n,n,,
Evelyn Reed,1st,F,h,m,cooperative,neutral,n,y,n,n,,
Bella Cruz,1st,F,m,m,cooperative,high,n,n,n,n,,
Samuel Jones,1st,M,h,m,neutral,high,n,y,n,n,,
Paisley Thompson,1st,F,h,h,neutral,high,n,n,n,n,,
Violet Davis,1st,F,m,m,cooperative,low,n,n,y,n,,
Savannah Hernandez,1st,F,l,m,cooperative,low,n,n,n,n,,
Elijah Walker,1st,M,m,m,neutral,low,n,n,n,n,,
Sophia Wright,1st,F,h,l,disruptive,high,n,y,y,n,,Penelope Flores
Levi Perez,1st,M,m,l,cooperative,neutral,y,n,n,n,,
Sofia Ruiz,1st,F,m,m,cooperative,neutral,n,n,y,n,,
Jacob Brown,1st,M,h,h,cooperative,high,n,y,n,n,Penelope Flores,
Ellie Scott,1st,F,m,h,cooperative,high,n,n,n,n,,
Christopher Turner,1st,M,l,l,cooperative,neutral,n,n,n,n,,
Penelope Flores,1st,F,h,l,disruptive,low,n,n,n,n,Nathan Gomez,Sophia Wright
Owen Walker,1st,M,h,h,cooperative,high,n,y,n,n,,
Julian Davis,1st,M,h,m,cooperative,low,n,n,y,n,,
Brooklyn Roberts,1st,F,l,m,cooperative,neutral,n,n,n,n,,
Nathan Gomez,1st,M,m,m,cooperative,neutral,n,n,n,n,,
Noah James,1st,M,m,m,cooperative,high,y,n,n,n,,
Skylar Davis,2nd,F,l,m,cooperative,high,n,n,n,n,,
Gabriella Martinez,2nd,F,l,m,cooperative,high,n,n,n,n,,
Nathan Rivera,2nd,M,m,l,neutral,high,n,n,n,n,,
Ava Ramos,2nd,F,m,l,neutral,neutral,n,n,n,n,Skylar Davis,
Ezra Reed,2nd,M,m,h,cooperative,low,n,n,n,n,,
Avery Cook,2nd,F,m,m,cooperative,high,n,n,n,n,James Richardson,
