First Name,Last Name,Grade,Gender,Math Level,Reading Level,IEP,Teacher
Emma,Alvarez,3rd Grade,Female,h,m,No,Ms. Rivera
Liam,Brennan,3rd Grade,Male,m,h,No,Ms. Rivera
Sofia,Chen,3rd Grade,Female,h,h,No,Ms. Rivera
Jackson,Diaz,3rd Grade,Male,m,m,Yes,Mr. Thompson
Aisha,Evans,3rd Grade,Female,l,m,No,Mr. Thompson
Noah,Flores,3rd Grade,Male,h,h,No,Ms. Rivera
Chloe,Garcia,3rd Grade,Female,m,l,Yes,Mr. Thompson
Marcus,Harris,3rd Grade,Male,l,l,Yes,Mr. Thompson
Priya,Ito,4th Grade,Female,h,h,No,Ms. Nguyen
Derek,Johnson,4th Grade,Male,m,m,No,Ms. Nguyen
Aaliya,Kim,4th Grade,Female,m,h,No,Mr. Walsh
Ben,Lopez,4th Grade,Male,h,m,No,Mr. Walsh
Clara,Martinez,4th Grade,Female,l,l,Yes,Ms. Nguyen
Elijah,Okafor,4th Grade,Male,m,m,No,Mr. Walsh
Fatima,Park,4th Grade,Female,h,h,No,Ms. Nguyen
